Name,Layout,Features,Availability,MinKeys,MaxKeys,Website,Image,Note
DMOTE 2,dish,split,source,60,60,https://viktor.eikman.se/article/the-dmote/,DMOTE.jpg,
Dactyl,dish,split,source,34,76,https://github.com/adereth/dactyl-keyboard,Dactyl.jpg,
Dactyl-ManuForm,dish,split,source,42,92,https://github.com/tshort/dactyl-keyboard,Dactyl-ManuForm.jpg,
Kinesis Advantage 2,dish,single,massproduced,86,86,https://www.kinesis-ergo.com/shop/advantage2/,KinesisAdvantage2.jpg,
Maltron,dish,single trackp,massproduced,110,112,https://www.maltron.com/,Maltron.jpg,
ManuForm,dish,single,source,48,48,https://geekhack.org/index.php?topic=46015.0,manuform.jpg,
