Name,Layout,Features,Availability,MinKeys,MaxKeys,Website,Image,Note
BFO-9000,split ortho,,kit,108,108,https://keeb.io/products/bfo-9000-keyboard-customizable-full-size-split-ortholinear,BFO-9000.jpg,
Chimera Ortho,split ortho,wireless,source,46,46,https://github.com/GlenPickle/Chimera,Chimera.jpg,
Darknight,split ortho,,source,48,48,https://github.com/macroxue/keyboard-diy,Darknight.jpg,
For Science,split ortho,,source,6,46,https://github.com/peej/for-science-keyboard,ForScience.jpg,
Helix,split ortho,display,source,76,76,https://github.com/MakotoKurauchi/helix,Helix.jpg,
Let’s Split,split ortho,,assembled kit source,48,48,https://github.com/nicinabox/lets-split-guide,LetsSplit.jpg,
Levinson,split ortho,,kit,48,48,https://keeb.io/products/levinson-lets-split-w-led-backlight,Levinson.jpg,
Nyquist,split ortho,,unavailable,60,60,https://keeb.io/collections/frontpage/products/nyquist-keyboard?variant=48309345990,Nyquist.jpg,
Viterbi,split ortho,,unavailable,70,70,https://keeb.io/products/viterbi-keyboard-pcbs-5x7-70-split-ortholinear,Viterbi.jpg,
